Ar,Enbad
أَحلاً وَسَهْلاً, welcome
مَرْحَبًا, Hi
تَشَرّفْتُ بِكَ, nice to meet you
كَيْفَ حَالُكَ, how are you?
أَنَا بِخَيْرٍ, I'm fine
مَعَ السَلامَةِ, bye
سامِحْني, forgive me
عَادي، لا تَقْلَقْ,its ok/ dont worry
أَنَا آسِفٌ عَلَى ذَلِكَ,im sorry about it
أَنَا نَسيتُ النُقودَ في البَيْتِ, I forgot the money at home
هذا رَخِيص, its cheap
هذا غَالٍ, its expensive
جَمِيلٌ جِدًّا,very nice
سَيِّئٌ جِدًّ,very bad
مَاذَا يُوجَدُ عِنْدَكُمْ؟, what do you have
مَاذَا تُحِبّ أنْ تَشْرَبَ؟, what do you like to drink
أنا عَطْشَانُ, im thirsty
طَعَامٌ لَذِيذٌ,delicious food
مَاذَا تُحِبّ أنْ تَأْكُلَ؟, what do you like to drink
هل أَنْتَ جَوْعَانُ؟, are you hungru
سَاعِدْنِي,help me
قُلْ لِي,tell me
هَِلْ تَفْهَمُ هَذِهِ الْكَلِمَةَ؟,Do you understand this word
لا أعْرِفُ,i dont know
هَلْ تَعْرِفُ هَذَا الرَّجُلَ؟, do you know this guy
أظُنّ ذَلِكَ,i think so
فِي رَأْيِي,in my opinion
هِيَ سَهْلَة,its easy
هل العَرَبِيَّةُ صَعْبَةٌ؟,is arabic difficult
هَلْ تُحِبّ الدِّراسة؟,do you like studying
أدْرُسُ العَرَبِيّةَ, i study arabic
مَاذَا تَدْرُسُ؟,what do you study
أدْرُسُ فِي الجَامِعَةِ؟,i study in the university
أيْنَ تَدْرُسُ؟, where do you study
أعْمَلُ فِي شَرِكَةِ ۔۔۔,i work at ... company
أيْنَ تَعْمَلُ؟,where do you work?
أنَا أذْهَبُ إلَى الْعَمَلِ,im going to work
أيْنَ تَذْهَبُ؟,where are you going?
هُنَاكَ,there
قَرِيب,near
بُعَيدٌ عَنْ هُنَا,far from here
أيْنَ أَقْرَبُ مَشجِدٍ؟, where is the nearest masjid
طَبْعًا تَفَضَّلْ,of course/doit
مُمْكِنٌ سُؤَالٌ؟, can i ask a question
لَوْ سَمَحْتَ,Excuse me
لِي أخٌ واحِدٌ وأُخْتٌ واحِدَةٌ,I have one sister and one brother
كَمْ أخًا وَأُخْتًا لَكَ؟,how many brother and sisters do you have
لا، أُسْرَتِي صَغِيرَةٌ,no my family is small
هَلْ أُسْرَتِكَ كَبِيرَةٌ؟,is your family big
لا أنا عازِبٌ,no im single
نَعَمْ أنَا مُتَزَوِّجٌ, yes im married
هَلْ أَنْتَ مُتَزَوِّجٌ؟,are you married
أسْكُنُ فِي المَدِينَةِ,i live in the city
أيْنَ تَسْكُنُ؟,where do you live
لا، أنَا أمْرِيكِيّ, no im american
هَلْ أَنْتَ عَرَبِيّ؟,are you an arab
مِنْ أيِّ مَدِينَةٍ أنْتَ؟,which city are you from
أنَا مِنَ الأُرْدُنِ,im from jordan
مِنْ أيْنَ أنْتَ؟,where are you from
أنَا أيْضًا,mee too
اسْمِي قاسِم,my name is Qasim
مَا اسْمُكَ؟,whats your name
نَعَمْ قَلِيلًا,yes a little
هَلْ تَتَكَلَّمُ بِالْإنْجِلِيزِيّة؟,do you speak engliskh
نَعَمْ أتَكَلّمُ بِالعَرَبِيّةِ بِطَلاقَةٍ,yes i speak arabic fluently
هَلْ تَتَكَلَّمُ بِالعَرَبِيّة؟,do you speak arabic
لا بَأْسَ,not bad
تَعْبَانُ قَلِيلًا,a little tired
وأنْتَ؟,and you



